tour_date,tour_year,tour_month,num_guides,headcount
2019-01-09,2019,1,4,124.0
2019-01-10,2019,1,4,103.0
2019-01-11,2019,1,4,109.0
2019-01-12,2019,1,3,86.0
2019-01-13,2019,1,2,72.0
2019-01-14,2019,1,3,97.0
2019-01-15,2019,1,3,82.0
2019-01-16,2019,1,2,57.0
2019-01-17,2019,1,3,108.0
2019-01-18,2019,1,2,65.0
2019-01-19,2019,1,2,71.0
2019-01-20,2019,1,2,64.0
2019-01-21,2019,1,2,53.0
2019-01-22,2019,1,3,79.0
2019-01-23,2019,1,3,78.0
2019-01-24,2019,1,3,79.0
2019-01-25,2019,1,3,80.0
2019-01-26,2019,1,1,38.0
2019-01-27,2019,1,2,51.0
2019-01-28,2019,1,3,85.0
2019-01-29,2019,1,2,51.0
2019-01-30,2019,1,2,65.0
2019-01-31,2019,1,2,64.0
2019-02-01,2019,2,4,133.0
2019-02-02,2019,2,2,66.0
2019-02-03,2019,2,2,58.0
2019-02-04,2019,2,3,84.0
2019-02-05,2019,2,3,115.0
2019-02-06,2019,2,3,88.0
2019-02-07,2019,2,3,105.0
2019-02-08,2019,2,3,98.0
2019-02-09,2019,2,3,87.0
2019-02-10,2019,2,2,73.0
2019-02-11,2019,2,3,113.0
2019-02-12,2019,2,2,51.0
2019-02-13,2019,2,3,115.0
2019-02-14,2019,2,3,94.0
2019-02-15,2019,2,3,111.0
2019-02-16,2019,2,3,99.0
2019-02-17,2019,2,2,68.0
2019-02-18,2019,2,3,77.0
2019-02-19,2019,2,3,97.0
2019-02-20,2019,2,3,90.0
2019-02-21,2019,2,4,113.0
2019-02-22,2019,2,3,106.0
2019-02-23,2019,2,2,72.0
2019-02-24,2019,2,2,115.0
2019-02-25,2019,2,3,93.0
2019-02-26,2019,2,3,114.0
2019-02-27,2019,2,3,95.0
2019-02-28,2019,2,3,94.0
2019-03-01,2019,3,4,138.0
2019-03-02,2019,3,3,96.0
2019-03-03,2019,3,2,61.0
2019-03-04,2019,3,3,97.0
2019-03-05,2019,3,3,106.0
2019-03-06,2019,3,3,111.0
2019-03-07,2019,3,4,142.0
2019-03-08,2019,3,3,90.0
2019-03-09,2019,3,3,91.0
2019-03-10,2019,3,2,73.0
2019-03-11,2019,3,3,82.0
2019-03-12,2019,3,3,92.0
2019-03-13,2019,3,3,91.0
2019-03-14,2019,3,4,107.0
2019-03-15,2019,3,3,93.0
2019-03-16,2019,3,2,90.0
2019-03-17,2019,3,1,7.0
2019-03-18,2019,3,3,77.0
2019-03-19,2019,3,3,106.0
2019-03-20,2019,3,2,76.0
2019-03-21,2019,3,2,60.0
2019-03-22,2019,3,3,80.0
2019-03-23,2019,3,2,50.0
2019-03-24,2019,3,2,68.0
2019-03-25,2019,3,2,63.0
2019-03-26,2019,3,3,67.0
2019-03-27,2019,3,3,109.0
2019-03-28,2019,3,3,78.0
2019-03-29,2019,3,4,106.0
2019-03-30,2019,3,1,39.0
2019-03-31,2019,3,2,53.0
2019-04-01,2019,4,3,96.0
2019-04-02,2019,4,3,75.0
2019-04-03,2019,4,2,46.0
2019-04-04,2019,4,3,82.0
2019-04-05,2019,4,2,59.0
2019-04-06,2019,4,2,64.0
2019-04-07,2019,4,2,45.0
2019-04-08,2019,4,3,74.0
2019-04-09,2019,4,3,82.0
2019-04-10,2019,4,3,82.0
2019-04-11,2019,4,3,109.0
2019-04-12,2019,4,2,71.0
2019-04-13,2019,4,2,57.0
2019-04-14,2019,4,2,102.0
2019-04-15,2019,4,3,98.0
2019-04-16,2019,4,3,109.0
2019-04-17,2019,4,2,67.0
2019-04-18,2019,4,3,84.0
2019-04-19,2019,4,3,91.0
2019-04-20,2019,4,3,99.0
2019-04-21,2019,4,3,81.0
2019-04-22,2019,4,3,90.0
